Event_ID,Timestamp,Plant,Production_Line,Machine_ID,Shift,Downtime_Reason,Downtime_Category,Downtime_Minutes,Production_Loss_Units,Cost_Per_Unit,Downtime_Cost,Operator_ID,Maintenance_Team,Planned_Flag
DT-110978,05/10/2024 10:00,Plant B,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,193,92,31,2852,OP-205,MT-4,0
DT-110768,12/10/2023 13:00,Plant C,Line-2,M-01,Night,Planned Maintenance,Planned,202,146,58,8468,OP-214,MT-1,1
DT-117074,02/04/2024 20:00,Plant B,Line-3,M-01,Morning,Mechanical Failure,Technical,41,254,53,13462,OP-212,MT-5,0
DT-112274,03/06/2023 12:00,Plant C,Line-3,M-01,Evening,Mechanical Failure,Technical,56,13,35,455,OP-217,MT-5,0
DT-117639,06/03/2023 9:00,Plant C,Line-2,M-01,Evening,Safety Stop,Compliance,93,156,48,7488,OP-245,MT-1,0
DT-104095,20/08/2024 5:00,Plant B,Line-3,M-01,Evening,Material Shortage,Supply Chain,188,95,35,3325,OP-229,MT-2,0
DT-108371,18/01/2023 11:00,Plant B,Line-2,M-01,Morning,Safety Stop,Compliance,248,22,40,880,OP-248,MT-4,0
DT-101507,01/10/2023 18:00,Plant B,Line-2,M-01,Morning,Quality Issue,Quality,6,219,21,4599,OP-252,MT-2,0
DT-102112,19/12/2023 13:00,Plant C,Line-2,M-01,Evening,Safety Stop,Compliance,74,239,36,8604,OP-267,MT-2,0
DT-113589,29/12/2024 16:00,Plant A,Line-2,M-01,Night,Safety Stop,Compliance,37,290,17,4930,OP-104,MT-1,0
DT-111674,19/06/2023 20:00,Plant A,Line-2,M-01,Morning,Operator Error,Human,254,154,41,6314,OP-113,MT-2,0
DT-114252,25/09/2024 4:00,Plant B,Line-3,M-01,Morning,Material Shortage,Supply Chain,16,452,33,14916,OP-251,MT-1,0
DT-118681,30/04/2024 14:00,Plant B,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,68,402,37,14874,OP-278,MT-3,0
DT-107195,09/02/2023 10:00,Plant A,Line-2,M-01,Morning,Quality Issue,Quality,303,213,50,10650,OP-117,MT-5,0
DT-109045,12/10/2024 11:00,Plant A,Line-2,M-01,Morning,Safety Stop,Compliance,197,368,49,18032,OP-125,MT-3,0
DT-112240,26/02/2024 9:00,Plant C,Line-3,M-01,Night,Safety Stop,Compliance,8,496,56,27776,OP-285,MT-4,0
DT-100278,04/12/2023 8:00,Plant A,Line-2,M-01,Morning,Mechanical Failure,Technical,205,491,46,22586,OP-126,MT-2,0
DT-102305,07/12/2023 19:00,Plant A,Line-2,M-01,Morning,Material Shortage,Supply Chain,318,312,36,11232,OP-126,MT-1,0
DT-114611,16/02/2024 10:00,Plant A,Line-2,M-01,Morning,Planned Maintenance,Planned,14,232,30,6960,OP-127,MT-3,1
DT-116902,23/06/2024 17:00,Plant A,Line-2,M-01,Morning,Mechanical Failure,Technical,75,66,49,3234,OP-135,MT-1,0
DT-107826,25/02/2024 13:00,Plant A,Line-2,M-01,Morning,Planned Maintenance,Planned,196,193,29,5597,OP-142,MT-2,1
DT-110258,10/05/2024 1:00,Plant C,Line-2,M-01,Night,Planned Maintenance,Planned,140,477,57,27189,OP-290,MT-3,1
DT-112293,30/01/2024 12:00,Plant A,Line-2,M-01,Morning,Material Shortage,Supply Chain,23,335,51,17085,OP-168,MT-3,0
DT-107440,01/01/2023 2:00,Plant C,Line-3,M-01,Morning,Operator Error,Human,350,242,27,6534,OP-295,MT-1,0
DT-100175,10/04/2023 9:00,Plant C,Line-3,M-01,Morning,Operator Error,Human,68,404,21,8484,OP-328,MT-2,0
DT-106104,29/03/2023 8:00,Plant C,Line-3,M-01,Morning,Operator Error,Human,131,172,53,9116,OP-346,MT-3,0
DT-104727,27/08/2023 18:00,Plant B,Line-3,M-01,Evening,Safety Stop,Compliance,34,195,31,6045,OP-377,MT-3,0
DT-111269,26/04/2023 15:00,Plant C,Line-3,M-01,Evening,Power Outage,External,178,89,21,1869,OP-378,MT-4,0
DT-115618,13/12/2024 15:00,Plant A,Line-2,M-01,Morning,Planned Maintenance,Planned,266,106,50,5300,OP-176,MT-2,1
DT-114105,10/02/2024 22:00,Plant B,Line-3,M-01,Morning,Material Shortage,Supply Chain,244,366,53,19398,OP-380,MT-1,0
DT-119131,31/03/2023 16:00,Plant B,Line-2,M-01,Morning,Operator Error,Human,28,218,59,12862,OP-297,MT-3,0
DT-117515,26/10/2024 19:00,Plant B,Line-3,M-01,Morning,Quality Issue,Quality,297,410,23,9430,OP-386,MT-5,0
DT-119494,29/08/2024 12:00,Plant A,Line-2,M-01,Evening,Safety Stop,Compliance,151,75,44,3300,OP-210,MT-2,0
DT-102802,22/01/2023 18:00,Plant C,Line-2,M-01,Evening,Operator Error,Human,248,476,29,13804,OP-301,MT-5,0
DT-109323,03/03/2024 11:00,Plant A,Line-2,M-01,Morning,Electrical Issue,Technical,186,332,58,19256,OP-223,MT-2,0
DT-118274,22/01/2024 12:00,Plant B,Line-3,M-01,Night,Planned Maintenance,Planned,195,169,46,7774,OP-387,MT-1,1
DT-104244,16/01/2024 21:00,Plant B,Line-2,M-01,Morning,Safety Stop,Compliance,336,388,27,10476,OP-302,MT-2,0
DT-115765,22/06/2024 22:00,Plant B,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,153,29,41,1189,OP-390,MT-4,0
DT-114617,06/10/2023 6:00,Plant C,Line-3,M-01,Evening,Power Outage,External,279,372,47,17484,OP-396,MT-5,0
DT-117432,09/07/2023 13:00,Plant C,Line-3,M-01,Evening,Unplanned Maintenance,Unplanned,295,408,58,23664,OP-398,MT-4,0
DT-115672,07/08/2024 8:00,Plant C,Line-3,M-01,Evening,Material Shortage,Supply Chain,352,361,27,9747,OP-399,MT-3,0
DT-108419,05/09/2023 16:00,Plant B,Line-2,M-01,Night,Electrical Issue,Technical,269,202,37,7474,OP-302,MT-4,0
DT-115974,11/07/2024 18:00,Plant C,Line-3,M-01,Evening,Electrical Issue,Technical,3,50,29,1450,OP-425,MT-2,0
DT-104359,26/07/2024 3:00,Plant C,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,204,54,35,1890,OP-439,MT-2,0
DT-112248,13/12/2024 22:00,Plant B,Line-3,M-01,Morning,Unplanned Maintenance,Unplanned,175,249,36,8964,OP-460,MT-5,0
DT-118036,13/02/2023 5:00,Plant A,Line-3,M-01,Morning,Safety Stop,Compliance,262,125,58,7250,OP-118,MT-3,0
DT-115770,06/10/2024 22:00,Plant A,Line-1,M-01,Night,Planned Maintenance,Planned,81,221,33,7293,OP-158,MT-2,1
DT-107987,03/09/2023 19:00,Plant A,Line-2,M-01,Evening,Planned Maintenance,Planned,122,232,58,13456,OP-232,MT-1,1
DT-102752,10/12/2023 12:00,Plant A,Line-3,M-01,Morning,Electrical Issue,Technical,78,286,31,8866,OP-139,MT-4,0
DT-104580,30/09/2023 5:00,Plant A,Line-2,M-01,Morning,Quality Issue,Quality,167,440,32,14080,OP-235,MT-5,0
DT-117732,14/10/2023 17:00,Plant A,Line-3,M-01,Night,Planned Maintenance,Planned,112,443,22,9746,OP-161,MT-2,1
DT-100868,29/09/2023 10:00,Plant A,Line-1,M-01,Evening,Operator Error,Human,120,35,31,1085,OP-171,MT-1,0
DT-114506,31/03/2024 19:00,Plant A,Line-3,M-01,Night,Electrical Issue,Technical,263,471,35,16485,OP-162,MT-1,0
DT-115482,30/06/2023 9:00,Plant A,Line-2,M-01,Night,Operator Error,Human,354,340,33,11220,OP-257,MT-3,0
DT-107007,24/03/2024 14:00,Plant B,Line-3,M-01,Evening,Quality Issue,Quality,154,316,39,12324,OP-473,MT-2,0
DT-116924,20/08/2024 19:00,Plant C,Line-5,M-01,Night,Quality Issue,Quality,174,48,31,1488,OP-114,MT-4,0
DT-117130,20/12/2024 12:00,Plant C,Line-5,M-01,Evening,Electrical Issue,Technical,307,124,32,3968,OP-114,MT-1,0
DT-101488,10/09/2024 14:00,Plant B,Line-2,M-01,Night,Planned Maintenance,Planned,287,317,48,15216,OP-309,MT-5,1
DT-114023,03/12/2023 22:00,Plant C,Line-2,M-01,Morning,Planned Maintenance,Planned,179,243,17,4131,OP-312,MT-1,1
DT-114899,03/09/2023 20:00,Plant B,Line-3,M-01,Evening,Planned Maintenance,Planned,116,340,37,12580,OP-481,MT-2,1
DT-108701,24/03/2024 15:00,Plant C,Line-2,M-01,Morning,Planned Maintenance,Planned,193,23,23,529,OP-313,MT-4,1
DT-100512,04/06/2023 23:00,Plant C,Line-3,M-01,Evening,Safety Stop,Compliance,255,242,23,5566,OP-483,MT-5,0
DT-113872,16/12/2024 21:00,Plant B,Line-5,M-01,Evening,Electrical Issue,Technical,318,260,41,10660,OP-115,MT-3,0
DT-101968,04/09/2023 22:00,Plant A,Line-2,M-01,Evening,Safety Stop,Compliance,83,311,15,4665,OP-303,MT-3,0
DT-101758,03/07/2023 14:00,Plant A,Line-3,M-01,Night,Operator Error,Human,331,51,30,1530,OP-219,MT-5,0
DT-118678,01/01/2023 16:00,Plant A,Line-2,M-01,Night,Safety Stop,Compliance,341,434,48,20832,OP-347,MT-3,0
DT-114333,18/12/2023 17:00,Plant A,Line-2,M-01,Night,Material Shortage,Supply Chain,35,458,24,10992,OP-371,MT-2,0
DT-114870,22/08/2024 12:00,Plant A,Line-3,M-01,Evening,Mechanical Failure,Technical,274,71,18,1278,OP-221,MT-3,0
DT-101625,16/02/2024 9:00,Plant A,Line-2,M-01,Morning,Safety Stop,Compliance,250,223,18,4014,OP-374,MT-5,0
DT-106877,02/05/2023 4:00,Plant A,Line-3,M-01,Evening,Material Shortage,Supply Chain,357,330,23,7590,OP-242,MT-4,0
DT-108203,05/12/2023 6:00,Plant A,Line-2,M-01,Evening,Mechanical Failure,Technical,247,400,17,6800,OP-374,MT-2,0
DT-105064,21/04/2024 21:00,Plant A,Line-2,M-01,Morning,Electrical Issue,Technical,261,441,27,11907,OP-376,MT-4,0
DT-106592,09/02/2024 23:00,Plant B,Line-2,M-01,Morning,Unplanned Maintenance,Unplanned,134,176,33,5808,OP-338,MT-2,0
DT-107603,12/06/2024 4:00,Plant A,Line-3,M-01,Morning,Material Shortage,Supply Chain,91,215,25,5375,OP-294,MT-4,0
DT-100145,01/09/2023 23:00,Plant A,Line-3,M-01,Morning,Electrical Issue,Technical,89,334,51,17034,OP-295,MT-1,0
DT-103545,12/06/2024 10:00,Plant A,Line-3,M-01,Evening,Planned Maintenance,Planned,25,77,45,3465,OP-306,MT-3,1
DT-116628,16/05/2024 16:00,Plant A,Line-2,M-01,Morning,Material Shortage,Supply Chain,309,250,28,7000,OP-399,MT-1,0
DT-107806,10/11/2024 14:00,Plant C,Line-2,M-01,Evening,Electrical Issue,Technical,249,426,42,17892,OP-343,MT-1,0
DT-115031,08/12/2024 15:00,Plant A,Line-2,M-01,Morning,Mechanical Failure,Technical,7,281,44,12364,OP-426,MT-3,0
DT-103063,19/07/2023 0:00,Plant A,Line-2,M-01,Evening,Planned Maintenance,Planned,324,305,21,6405,OP-435,MT-3,1
DT-104338,08/06/2023 17:00,Plant A,Line-2,M-01,Morning,Operator Error,Human,89,230,44,10120,OP-449,MT-3,0
DT-101560,13/05/2023 5:00,Plant A,Line-2,M-01,Morning,Planned Maintenance,Planned,303,434,29,12586,OP-474,MT-5,1
DT-109807,17/08/2023 15:00,Plant A,Line-3,M-01,Evening,Power Outage,External,109,427,45,19215,OP-313,MT-5,0
DT-104568,25/09/2023 3:00,Plant A,Line-2,M-01,Evening,Unplanned Maintenance,Unplanned,78,439,38,16682,OP-477,MT-2,0
DT-101610,16/05/2024 22:00,Plant B,Line-2,M-01,Morning,Electrical Issue,Technical,87,419,28,11732,OP-368,MT-5,0
DT-108099,26/09/2023 20:00,Plant C,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,86,17,25,425,OP-503,MT-3,0
DT-117597,22/11/2024 1:00,Plant A,Line-2,M-01,Evening,Power Outage,External,45,369,33,12177,OP-565,MT-4,0
DT-117623,23/02/2023 22:00,Plant B,Line-2,M-01,Evening,Safety Stop,Compliance,58,352,43,15136,OP-374,MT-5,0
DT-106972,19/03/2024 3:00,Plant A,Line-2,M-01,Evening,Material Shortage,Supply Chain,131,452,27,12204,OP-592,MT-4,0
DT-106960,21/02/2024 18:00,Plant A,Line-3,M-01,Evening,Mechanical Failure,Technical,68,389,47,18283,OP-320,MT-5,0
DT-114091,16/03/2023 0:00,Plant C,Line-3,M-01,Evening,Quality Issue,Quality,81,91,47,4277,OP-507,MT-1,0
DT-102455,19/05/2023 9:00,Plant C,Line-3,M-01,Evening,Electrical Issue,Technical,335,421,36,15156,OP-509,MT-2,0
DT-117252,25/04/2023 11:00,Plant A,Line-3,M-01,Evening,Operator Error,Human,74,48,33,1584,OP-354,MT-1,0
DT-104298,13/07/2023 22:00,Plant B,Line-3,M-01,Morning,Planned Maintenance,Planned,269,438,48,21024,OP-511,MT-1,1
DT-119997,11/11/2023 20:00,Plant A,Line-3,M-01,Morning,Safety Stop,Compliance,272,259,19,4921,OP-406,MT-4,0
DT-106367,25/12/2024 21:00,Plant A,Line-3,M-01,Evening,Planned Maintenance,Planned,287,185,22,4070,OP-417,MT-2,1
DT-102032,29/10/2024 21:00,Plant C,Line-3,M-01,Evening,Planned Maintenance,Planned,251,488,50,24400,OP-524,MT-3,1
DT-110675,29/06/2023 1:00,Plant C,Line-3,M-01,Night,Operator Error,Human,345,272,17,4624,OP-527,MT-5,0
DT-108486,10/09/2024 6:00,Plant A,Line-2,M-01,Night,Material Shortage,Supply Chain,48,93,37,3441,OP-592,MT-2,0
DT-105812,09/06/2024 1:00,Plant C,Line-3,M-01,Morning,Power Outage,External,85,223,54,12042,OP-528,MT-4,0
DT-103534,03/01/2023 5:00,Plant B,Line-2,M-01,Night,Quality Issue,Quality,175,251,39,9789,OP-375,MT-1,0
DT-104735,05/10/2023 23:00,Plant A,Line-3,M-01,Evening,Material Shortage,Supply Chain,166,295,33,9735,OP-449,MT-3,0
DT-107079,04/09/2024 0:00,Plant A,Line-3,M-01,Morning,Quality Issue,Quality,213,53,58,3074,OP-488,MT-1,0
DT-114881,11/06/2023 23:00,Plant A,Line-2,M-01,Morning,Operator Error,Human,250,42,42,1764,OP-604,MT-4,0
DT-107486,08/03/2024 23:00,Plant B,Line-3,M-01,Morning,Material Shortage,Supply Chain,238,349,18,6282,OP-535,MT-1,0
DT-106782,31/01/2024 11:00,Plant A,Line-2,M-01,Morning,Mechanical Failure,Technical,21,74,32,2368,OP-658,MT-3,0
DT-107368,17/10/2024 18:00,Plant A,Line-3,M-01,Morning,Quality Issue,Quality,312,88,20,1760,OP-502,MT-5,0
DT-107298,04/02/2023 2:00,Plant A,Line-3,M-01,Evening,Unplanned Maintenance,Unplanned,173,441,22,9702,OP-517,MT-3,0
DT-114315,12/06/2023 15:00,Plant B,Line-2,M-01,Night,Electrical Issue,Technical,47,412,49,20188,OP-388,MT-4,0
DT-104098,07/08/2024 15:00,Plant B,Line-2,M-01,Night,Planned Maintenance,Planned,311,350,30,10500,OP-391,MT-3,1
DT-105289,03/11/2023 23:00,Plant A,Line-3,M-01,Evening,Operator Error,Human,58,393,54,21222,OP-551,MT-1,0
DT-110167,26/03/2023 0:00,Plant A,Line-3,M-01,Night,Mechanical Failure,Technical,174,61,42,2562,OP-551,MT-3,0
DT-119819,11/03/2023 10:00,Plant A,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,282,459,28,12852,OP-560,MT-2,0
DT-118936,04/10/2023 10:00,Plant B,Line-4,M-01,Evening,Operator Error,Human,287,146,27,3942,OP-122,MT-4,0
DT-118341,13/06/2024 2:00,Plant A,Line-2,M-01,Morning,Mechanical Failure,Technical,306,303,19,5757,OP-686,MT-5,0
DT-106227,30/09/2024 20:00,Plant A,Line-3,M-01,Evening,Material Shortage,Supply Chain,342,55,56,3080,OP-577,MT-4,0
DT-102481,11/06/2023 4:00,Plant A,Line-3,M-01,Night,Safety Stop,Compliance,309,56,26,1456,OP-589,MT-5,0
DT-101243,25/11/2024 5:00,Plant A,Line-3,M-01,Evening,Unplanned Maintenance,Unplanned,343,249,58,14442,OP-590,MT-2,0
DT-113579,15/11/2024 17:00,Plant B,Line-3,M-01,Night,Operator Error,Human,229,371,36,13356,OP-554,MT-1,0
DT-114108,25/11/2023 2:00,Plant A,Line-2,M-01,Evening,Material Shortage,Supply Chain,186,71,29,2059,OP-689,MT-2,0
DT-106545,31/05/2024 6:00,Plant A,Line-3,M-01,Evening,Safety Stop,Compliance,320,196,55,10780,OP-613,MT-4,0
DT-113670,03/03/2023 12:00,Plant A,Line-2,M-01,Evening,Mechanical Failure,Technical,255,173,41,7093,OP-692,MT-2,0
DT-115011,18/11/2023 13:00,Plant A,Line-3,M-01,Evening,Operator Error,Human,18,45,28,1260,OP-622,MT-1,0
DT-111974,26/12/2023 17:00,Plant A,Line-2,M-01,Night,Electrical Issue,Technical,136,227,26,5902,OP-698,MT-3,0
DT-103152,25/09/2023 18:00,Plant A,Line-3,M-01,Night,Planned Maintenance,Planned,80,236,53,12508,OP-630,MT-1,1
DT-109142,14/11/2023 23:00,Plant A,Line-2,M-01,Evening,Unplanned Maintenance,Unplanned,306,267,24,6408,OP-701,MT-2,0
DT-109109,14/11/2024 3:00,Plant A,Line-2,M-01,Night,Quality Issue,Quality,82,488,39,19032,OP-705,MT-1,0
DT-117008,28/12/2023 9:00,Plant A,Line-2,M-01,Evening,Safety Stop,Compliance,138,455,22,10010,OP-709,MT-3,0
DT-115833,30/06/2024 3:00,Plant A,Line-2,M-01,Evening,Unplanned Maintenance,Unplanned,58,322,58,18676,OP-710,MT-1,0
DT-112990,18/02/2024 5:00,Plant A,Line-2,M-01,Night,Mechanical Failure,Technical,182,198,44,8712,OP-733,MT-2,0
DT-107322,30/07/2024 22:00,Plant A,Line-2,M-01,Evening,Unplanned Maintenance,Unplanned,227,244,54,13176,OP-737,MT-2,0
DT-111726,14/10/2024 20:00,Plant A,Line-3,M-01,Morning,Safety Stop,Compliance,324,258,52,13416,OP-635,MT-1,0
DT-110516,17/05/2023 9:00,Plant B,Line-2,M-01,Morning,Mechanical Failure,Technical,219,299,26,7774,OP-406,MT-4,0
DT-115508,03/12/2023 0:00,Plant A,Line-3,M-01,Night,Unplanned Maintenance,Unplanned,4,481,22,10582,OP-640,MT-4,0
DT-116434,13/04/2024 4:00,Plant B,Line-2,M-01,Night,Power Outage,External,67,275,31,8525,OP-406,MT-4,0
DT-113563,02/09/2023 5:00,Plant A,Line-3,M-01,Evening,Unplanned Maintenance,Unplanned,231,211,56,11816,OP-645,MT-2,0
DT-114530,05/09/2024 15:00,Plant B,Line-3,M-01,Night,Power Outage,External,273,423,57,24111,OP-568,MT-3,0
DT-100458,21/09/2023 1:00,Plant A,Line-3,M-01,Evening,Planned Maintenance,Planned,29,347,46,15962,OP-660,MT-1,1
DT-119081,27/09/2023 5:00,Plant A,Line-3,M-01,Evening,Operator Error,Human,5,227,17,3859,OP-674,MT-2,0
DT-116076,19/12/2023 7:00,Plant A,Line-2,M-01,Morning,Planned Maintenance,Planned,146,448,43,19264,OP-740,MT-1,1
DT-115154,14/05/2023 17:00,Plant A,Line-3,M-01,Morning,Unplanned Maintenance,Unplanned,275,48,42,2016,OP-683,MT-2,0
DT-117996,13/07/2024 7:00,Plant C,Line-1,M-01,Evening,Quality Issue,Quality,92,195,28,5460,OP-127,MT-5,0
DT-101239,01/03/2023 19:00,Plant A,Line-1,M-01,Morning,Mechanical Failure,Technical,274,456,57,25992,OP-248,MT-2,0
DT-105625,19/05/2024 22:00,Plant C,Line-2,M-01,Night,Electrical Issue,Technical,344,169,58,9802,OP-408,MT-4,0
DT-118612,17/07/2024 18:00,Plant A,Line-3,M-01,Morning,Planned Maintenance,Planned,18,74,27,1998,OP-689,MT-1,1
DT-117289,19/07/2024 12:00,Plant A,Line-2,M-01,Evening,Material Shortage,Supply Chain,224,213,57,12141,OP-764,MT-3,0
DT-116635,02/03/2023 0:00,Plant A,Line-2,M-01,Morning,Unplanned Maintenance,Unplanned,114,388,22,8536,OP-768,MT-5,0
DT-112793,10/07/2023 16:00,Plant A,Line-3,M-01,Night,Material Shortage,Supply Chain,193,239,25,5975,OP-692,MT-1,0
DT-105557,28/06/2023 5:00,Plant A,Line-2,M-01,Evening,Operator Error,Human,156,84,52,4368,OP-822,MT-1,0
DT-109997,02/08/2024 23:00,Plant B,Line-2,M-01,Night,Operator Error,Human,193,144,22,3168,OP-425,MT-5,0
DT-111907,09/07/2024 4:00,Plant A,Line-2,M-01,Evening,Electrical Issue,Technical,175,362,40,14480,OP-840,MT-3,0
DT-107282,16/05/2023 22:00,Plant A,Line-3,M-01,Evening,Quality Issue,Quality,229,157,24,3768,OP-709,MT-4,0
DT-116462,02/04/2023 18:00,Plant A,Line-2,M-01,Morning,Quality Issue,Quality,60,499,45,22455,OP-847,MT-3,0
DT-117211,16/09/2023 20:00,Plant A,Line-3,M-01,Morning,Electrical Issue,Technical,152,147,57,8379,OP-735,MT-5,0
DT-114423,02/02/2023 3:00,Plant A,Line-2,M-01,Night,Material Shortage,Supply Chain,167,61,52,3172,OP-850,MT-4,0
DT-107325,04/05/2023 4:00,Plant A,Line-1,M-01,Morning,Unplanned Maintenance,Unplanned,322,251,41,10291,OP-264,MT-3,0
DT-102187,29/09/2023 15:00,Plant A,Line-2,M-01,Evening,Quality Issue,Quality,285,379,17,6443,OP-858,MT-4,0
DT-111675,07/01/2023 13:00,Plant A,Line-2,M-01,Night,Electrical Issue,Technical,237,111,21,2331,OP-878,MT-2,0
DT-112695,14/07/2023 14:00,Plant C,Line-2,M-01,Evening,Electrical Issue,Technical,215,208,49,10192,OP-442,MT-3,0
DT-114554,07/06/2024 0:00,Plant A,Line-2,M-01,Morning,Operator Error,Human,148,490,44,21560,OP-929,MT-2,0
DT-108027,29/10/2023 10:00,Plant A,Line-3,M-01,Morning,Electrical Issue,Technical,46,263,26,6838,OP-759,MT-5,0
DT-118641,04/06/2024 19:00,Plant A,Line-2,M-01,Evening,Operator Error,Human,39,355,38,13490,OP-933,MT-2,0
DT-108612,27/11/2023 22:00,Plant A,Line-2,M-01,Morning,Safety Stop,Compliance,103,159,54,8586,OP-936,MT-4,0
DT-107156,10/08/2023 18:00,Plant C,Line-2,M-01,Evening,Mechanical Failure,Technical,274,277,45,12465,OP-450,MT-4,0
DT-113942,21/03/2024 6:00,Plant B,Line-3,M-01,Evening,Material Shortage,Supply Chain,237,196,18,3528,OP-605,MT-4,0
DT-107157,03/08/2024 12:00,Plant A,Line-3,M-01,Night,Material Shortage,Supply Chain,125,165,27,4455,OP-840,MT-4,0
DT-119543,17/12/2023 5:00,Plant A,Line-2,M-01,Evening,Quality Issue,Quality,315,190,25,4750,OP-973,MT-1,0
DT-109320,20/04/2024 19:00,Plant A,Line-3,M-01,Night,Safety Stop,Compliance,81,156,56,8736,OP-885,MT-3,0
DT-116555,14/07/2023 8:00,Plant A,Line-3,M-01,Evening,Power Outage,External,62,77,47,3619,OP-887,MT-5,0
DT-107571,28/10/2023 19:00,Plant A,Line-1,M-01,Evening,Mechanical Failure,Technical,6,401,52,20852,OP-276,MT-3,0
DT-111016,18/05/2023 3:00,Plant C,Line-2,M-01,Morning,Power Outage,External,206,431,34,14654,OP-456,MT-4,0
DT-116160,29/09/2024 17:00,Plant A,Line-3,M-01,Night,Mechanical Failure,Technical,99,233,19,4427,OP-889,MT-1,0
DT-119517,22/04/2024 17:00,Plant B,Line-5,M-01,Morning,Unplanned Maintenance,Unplanned,78,11,18,198,OP-132,MT-4,0
DT-107651,11/10/2024 12:00,Plant A,Line-3,M-01,Night,Quality Issue,Quality,91,212,37,7844,OP-981,MT-1,0
DT-105398,11/03/2023 18:00,Plant B,Line-2,M-01,Evening,Mechanical Failure,Technical,60,473,43,20339,OP-461,MT-5,0
DT-114357,14/11/2023 0:00,Plant A,Line-3,M-01,Night,Planned Maintenance,Planned,336,205,53,10865,OP-987,MT-1,1
DT-106268,06/12/2023 23:00,Plant A,Line-3,M-01,Night,Electrical Issue,Technical,79,360,40,14400,OP-988,MT-2,0
DT-116199,02/09/2023 0:00,Plant C,Line-2,M-01,Evening,Safety Stop,Compliance,31,74,15,1110,OP-463,MT-5,0
DT-101101,23/01/2023 17:00,Plant B,Line-3,M-01,Evening,Operator Error,Human,248,255,49,12495,OP-656,MT-5,0
DT-108643,22/06/2024 17:00,Plant C,Line-3,M-01,Night,Operator Error,Human,252,198,49,9702,OP-657,MT-4,0
DT-103184,19/10/2023 5:00,Plant C,Line-3,M-01,Morning,Power Outage,External,175,416,54,22464,OP-668,MT-2,0
DT-113186,06/04/2024 15:00,Plant B,Line-2,M-01,Morning,Power Outage,External,289,81,30,2430,OP-465,MT-5,0
DT-103815,11/12/2023 7:00,Plant B,Line-2,M-01,Night,Mechanical Failure,Technical,359,187,23,4301,OP-470,MT-1,0
DT-114709,02/11/2024 15:00,Plant C,Line-3,M-01,Night,Operator Error,Human,209,100,16,1600,OP-693,MT-1,0
